
2025/03/10 (23:28:13) | ===> btop++ v.1.4.0
2025/03/10 (23:28:13) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/10 (23:28:15) | WARNING: Failed to join _runner thread on exit!

2025/03/10 (23:28:17) | ===> btop++ v.1.4.0
2025/03/10 (23:28:17) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/10 (23:28:27) | WARNING: Failed to join _runner thread on exit!

2025/03/10 (23:29:02) | ===> btop++ v.1.4.0
2025/03/10 (23:29:02) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/10 (23:29:03) | WARNING: Failed to join _runner thread on exit!

2025/03/10 (23:31:36) | ===> btop++ v.1.4.0
2025/03/10 (23:31:36) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/10 (23:31:42) | WARNING: Failed to join _runner thread on exit!
